Ticket,Nome da Empresa
SGO.PA,SAINT GOBAIN
LGEN.L,LEGAL & GENERAL GRP
G.MI,ASSICURAZIONI GENERALI
SWED-A.ST,SWEDBANK
ARM.L,ARM
REL.L,REED ELSEVIER PLC
SNH.DE,STEINHOFF N.V.
RNO.PA,RENAULT
DNORD.CO,DANSKE BANK
SHB-A.ST,SVENSKA HANDELSBANKEN A
HOLN.SW,LafargeHolcim
KNEBV.HE,KONE B
STAN.L,STANDARD CHARTERED
EOAN.DE,E.ON
ASSA-B.ST,ASSA ABLOY
HEN3.DE,HENKEL PREF
HEIA.AS,HEINEKEN
RR.L,ROLLS ROYCE HLDG
ML.PA,MICHELIN
FME.DE,FRESENIUS MEDICAL CARE
10AD.MS,AMADEUS IT HLDG
SCA-B.ST,SVENSKA CELLULOSA B
ABF.L,ASSOCIATED BRITISH FOODS
VOLV-B.ST,VOLVO B
EQNR.OL,STATOIL
REL.AS,RELX NV
SEBA.ST,SKANDINAVISKA ENSKILDA BK A
EXPN.L,EXPERIAN
CNA.L,CENTRICA
AD.AS,AHOLD
INVE-B.ST,INVESTOR B
DB1.DE,DEUTSCHE BOERSE
AKZA.AS,AKZO NOBEL
ATCO-A.ST,ATLAS COPCO A
VWS.CO,VESTAS WIND SYSTEMS
IFX.DE,INFINEON TECHNOLOGIES
CAP.PA,CAP GEMINI
SKY.L,SKY
PNDORA.CO,PANDORA
GIVN.SW,GIVAUDAN
VNA.DE,Vonovia SE
CA.PA,CARREFOUR
SN.L,SMITH & NEPHEW
WOS.L,WOLSELEY
NXT.L,NEXT
LR.PA,LEGRAND
ACTN.SW,ACTELION
PUB.PA,PUBLICIS GRP
TELIA.ST,TELIASONERA
OMU.L,OLD MUTUAL
KPN.AS,KPN
KER.IR,KERRY GRP
KBC.BR,KBC GRP
GEBN.SW,GEBERIT
SCMN.SW,SWISSCOM
ACA.PA,CREDIT AGRICOLE
LSEG.L,LONDON STOCK EXCHANGE
KER.PA,Kering
ITV.L,ITV
ATL.MI,ATLANTIA
SRG.MI,SNAM RETE GAS
TIT.MI,TELECOM ITALIA
REP.MC,REPSOL
VLOF.PA,VALEO
LAND.L,LAND SECURITIES
WKL.AS,WOLTERS KLUWER
KGF.L,KINGFISHER
HEI.DE,HEIDELBERGCEMENT
SAND.ST,SANDVIK
AAL.L,ANGLO AMERICAN
SGSN.SW,SGS
DNB.OL,DNB
TEL.OL,TELENOR
ADEN.SW,ADECCO
VIV.PA,VEOLIA ENVIRONNEMENT
PSM.DE,PROSIEBENSAT.1 MEDIA
UHR.SW,SWATCH BEARER
DELB.BR,DELHAIZE GRP
EN.PA,BOUYGUES
FLTR.L,PADDY POWER BETFAIR
MRK.DE,MERCK
NWG.L,ROYAL BANK OF SCOTLAND GRP
AGN.AS,AEGON
PSON.L,PEARSON
DSY.PA,DASSAULT SYSTEMS
SL.L,STANDARD LIFE
WTB.L,WHITBREAD
SW.PA,SODEXO
LUX.MI,LUXOTTICA
CPI.L,CAPITA GRP
RYA.IR,RYANAIR
SESG.PA,SES
IHG.L,INTERCONTINENTAL HOTELS GRP
MAERSK-B.CO,A.P.MOLLER-MAERSK B
UCB.BR,UCB
BLND.L,BRITISH LAND COMPANY
SGE.L,SAGE GRP
MKS.L,MARKS & SPENCER GRP
FER.MC,FERROVIAL
DSM.AS,KONINKLIJKE DSM
LI.PA,KLEPIERRE
CBK.DE,COMMERZBANK
BAER.SW,JULIUS BAER GRP
SAB.MC,BCO SABADELL
BNZL.L,BUNZL
CCL.L,CARNIVAL
HEXA-B.ST,HEXAGON B
CARL-B.CO,CARLSBERG B
REE.MC,RED ELECTRICA CORPORATION
DWNI.DE,DEUTSCHE WOHNEN
AENA.MC,AENA
AC.PA,ACCOR
PSN.L,PERSIMMON
UPM.HE,UPM KYMMENE
EDP.LS,EDP ENERGIAS DE PORTUGAL
BEI.DE,BEIERSDORF
NZYM-B.CO,NOVOZYMES
UU.L,UNITED UTILITIES GRP
COLO-B.CO,COLOPLAST B
CDI.PA,CHRISTIAN DIOR
TW.L,TAYLOR WIMPEY
